ID Ciudad Genero Edad Experiencia_Profesional Estrato_Social Estado_Civil Grado_Instruccion Salario
477 Piura Femenino 42 15 3 Viudo Bachiller 18879
478 Arequipa Femenino 41 15 3 Divorciado Colegio 17976
479 Tumbes Masculino 35 19 1 Soltero Magister 5325
480 Tumbes Masculino 18 1 1 Divorciado Doctor 1800
481 Otros Masculino 43 27 1 Casado Doctor 7014
482 Trujillo Masculino 31 0 1 Casado Bachiller 1213
483 Trujillo Masculino 45 17 1 Divorciado Colegio 4832
484 Piura Femenino 29 16 1 Casado Colegio 4333
485 Arequipa Masculino 19 0 1 Viudo Bachiller 1940
486 Piura Femenino 47 22 2 Viudo Bachiller 10668
487 Arequipa Femenino 37 13 1 Casado Bachiller 4311
488 Arequipa Femenino 65 40 2 Soltero Colegio 17286
489 Piura Masculino 44 25 3 Viudo Colegio 21886
490 Piura Masculino 45 16 1 Soltero Magister 4810
491 Arequipa Masculino 43 21 1 Divorciado Doctor 6014
492 Otros Femenino 29 5 3 Divorciado Colegio 13638
493 Piura Masculino 31 3 2 Soltero Magister 3468
494 Lima Femenino 46 18 2 Viudo Magister 11458
495 Otros Masculino 46 23 1 Soltero Magister 5966
496 Piura Masculino 41 19 1 Viudo Bachiller 5469
497 Arequipa Femenino 25 0 1 Divorciado Colegio 1261
498 Otros Masculino 52 33 1 Casado Doctor 8448
499 Otros Masculino 21 0 1 Casado Doctor 1689
500 Otros Femenino 31 5 2 Casado Bachiller 4658
501 Arequipa Femenino 58 32 2 Divorciado Bachiller 14523
502 Tumbes Femenino 40 16 2 Casado Colegio 8277
503 Otros Masculino 45 29 3 Casado Magister 27962
504 Arequipa Masculino 39 24 1 Divorciado Magister 6258
505 Otros Femenino 25 6 3 Divorciado Colegio 16378
506 Lima Masculino 29 2 1 Soltero Doctor 1864
507 Lima Femenino 37 13 2 Divorciado Colegio 7931
508 Arequipa Masculino 18 0 1 Soltero Doctor 1563
509 Lima Femenino 27 6 1 Viudo Bachiller 2553
510 Piura Femenino 43 15 2 Viudo Doctor 6858
511 Lima Masculino 32 15 1 Viudo Bachiller 3811
512 Tumbes Masculino 32 3 1 Viudo Bachiller 2183
513 Tumbes Masculino 44 17 2 Soltero Bachiller 9948
514 Otros Femenino 30 9 2 Divorciado Bachiller 6976
515 Piura Femenino 41 16 1 Casado Colegio 4729
516 Trujillo Femenino 21 0 1 Casado Bachiller 1354
517 Otros Masculino 23 0 3 Divorciado Colegio 11736
518 Arequipa Femenino 18 0 2 Divorciado Magister 4359
519 Lima Masculino 36 9 1 Divorciado Colegio 3077
520 Arequipa Masculino 33 9 1 Viudo Magister 3277
521 Arequipa Femenino 49 22 1 Soltero Bachiller 6297
522 Arequipa Femenino 35 11 2 Casado Colegio 8704
523 Arequipa Femenino 49 29 3 Viudo Colegio 24836
524 Trujillo Masculino 54 25 2 Soltero Doctor 11627
525 Arequipa Femenino 30 2 2 Viudo Bachiller 7286
526 Trujillo Femenino 39 8 1 Divorciado Magister 3365
527 Piura Femenino 27 0 2 Viudo Bachiller 5128
528 Tumbes Masculino 42 10 1 Casado Colegio 3132
529 Lima Femenino 24 0 1 Viudo Bachiller 1583
530 Otros Femenino 25 0 1 Divorciado Bachiller 1531
531 Arequipa Femenino 38 13 1 Divorciado Bachiller 4251
532 Otros Masculino 36 13 1 Casado Bachiller 4101
533 Trujillo Masculino 38 17 1 Divorciado Bachiller 4479
534 Otros Masculino 36 13 1 Soltero Doctor 4014
535 Trujillo Masculino 30 2 2 Viudo Bachiller 6718
536 Arequipa Femenino 34 7 3 Soltero Colegio 12743
537 Trujillo Masculino 51 32 2 Soltero Bachiller 15860
538 Otros Femenino 35 4 1 Soltero Colegio 2776
539 Arequipa Femenino 22 0 1 Divorciado Magister 1364
540 Trujillo Masculino 27 0 1 Divorciado Magister 1651
541 Otros Femenino 24 5 1 Divorciado Colegio 2356
542 Otros Femenino 26 3 1 Casado Bachiller 2223
543 Lima Masculino 22 0 2 Viudo Bachiller 6515
544 Arequipa Masculino 18 0 1 Divorciado Magister 1314
545 Trujillo Femenino 42 20 1 Soltero Colegio 5821
546 Lima Femenino 42 20 1 Viudo Bachiller 6186
547 Piura Femenino 32 12 2 Viudo Bachiller 8522
548 Piura Masculino 28 6 1 Viudo Magister 2812
549 Lima Masculino 27 4 1 Casado Colegio 2664
550 Trujillo Femenino 39 13 1 Soltero Bachiller 4033
551 Otros Masculino 37 9 3 Casado Colegio 16778
552 Arequipa Femenino 39 9 2 Divorciado Bachiller 7056
553 Arequipa Masculino 35 14 1 Viudo Doctor 3585
554 Trujillo Femenino 41 16 1 Viudo Magister 4888
555 Tumbes Femenino 39 2 3 Viudo Colegio 11493
556 Piura Masculino 41 18 2 Soltero Magister 10998
557 Otros Femenino 40 11 1 Divorciado Colegio 3603
558 Arequipa Masculino 52 30 1 Viudo Magister 7477
559 Lima Masculino 24 0 2 Viudo Doctor 5566
560 Trujillo Femenino 50 22 3 Soltero Magister 21943
561 Trujillo Femenino 32 12 1 Soltero Bachiller 3746
562 Tumbes Masculino 34 4 2 Viudo Bachiller 6933
563 Arequipa Femenino 36 5 1 Soltero Colegio 2769
564 Piura Masculino 31 2 3 Divorciado Colegio 14660
565 Lima Masculino 18 7 1 Viudo Bachiller 2463
566 Piura Masculino 32 6 1 Casado Doctor 1813
567 Lima Masculino 35 2 1 Viudo Bachiller 2014
568 Piura Masculino 18 0 2 Viudo Magister 5397
569 Lima Femenino 40 18 1 Casado Bachiller 5222
570 Lima Femenino 29 5 1 Casado Colegio 2594
571 Lima Femenino 49 36 2 Soltero Bachiller 14281
572 Arequipa Masculino 38 19 1 Soltero Bachiller 5412
573 Tumbes Femenino 27 2 2 Soltero Doctor 4779
574 Arequipa Femenino 37 8 1 Divorciado Doctor 3389
575 Otros Masculino 38 12 1 Soltero Bachiller 3930
576 Arequipa Masculino 44 16 2 Soltero Magister 8873
577 Lima Masculino 33 13 1 Soltero Magister 4040
578 Lima Femenino 18 0 1 Casado Bachiller 1129
579 Piura Masculino 22 0 1 Viudo Doctor 1541
580 Trujillo Femenino 26 0 1 Viudo Colegio 1070
581 Arequipa Femenino 39 15 3 Divorciado Bachiller 20624
582 Arequipa Masculino 32 3 2 Viudo Bachiller 6357
583 Trujillo Femenino 29 7 2 Divorciado Colegio 6497
584 Piura Femenino 27 6 2 Viudo Colegio 6799
585 Lima Femenino 37 23 1 Divorciado Colegio 5774
586 Arequipa Masculino 26 0 2 Divorciado Doctor 4527
587 Trujillo Femenino 31 18 1 Divorciado Magister 4483
588 Tumbes Masculino 26 1 3 Soltero Magister 10860
589 Otros Masculino 21 0 1 Casado Doctor 1187
590 Trujillo Femenino 45 16 2 Viudo Colegio 11333
591 Trujillo Femenino 22 0 2 Soltero Colegio 3772
592 Trujillo Femenino 36 8 2 Casado Colegio 7647
593 Trujillo Masculino 29 8 1 Casado Bachiller 2844
594 Piura Masculino 24 0 1 Soltero Doctor 1162
595 Otros Masculino 38 13 1 Viudo Bachiller 4451
596 Arequipa Femenino 39 23 1 Casado Bachiller 5659
597 Arequipa Femenino 48 24 2 Casado Magister 12612
598 Piura Femenino 38 22 2 Divorciado Colegio 12074
599 Lima Femenino 34 14 1 Divorciado Bachiller 4916
600 Lima Femenino 61 39 2 Soltero Doctor 16819
601 Lima Masculino 28 6 1 Divorciado Doctor 2451
602 Lima Masculino 25 0 1 Viudo Bachiller 1904
603 Trujillo Masculino 30 5 1 Casado Bachiller 2014
604 Lima Masculino 34 14 2 Soltero Doctor 9378
605 Otros Masculino 41 19 1 Casado Magister 5327
606 Lima Femenino 39 17 1 Divorciado Colegio 4206
607 Trujillo Masculino 34 8 3 Viudo Magister 16236
608 Lima Masculino 26 0 1 Viudo Bachiller 1619
609 Otros Femenino 46 23 1 Soltero Bachiller 6105
610 Trujillo Femenino 44 21 1 Soltero Bachiller 6163
611 Otros Masculino 28 0 3 Casado Bachiller 12462
612 Trujillo Masculino 42 21 1 Viudo Bachiller 5284
613 Piura Masculino 40 16 2 Divorciado Doctor 9851
614 Tumbes Masculino 45 21 1 Divorciado Doctor 5752
615 Piura Femenino 36 15 1 Viudo Colegio 3790
616 Otros Femenino 24 2 1 Divorciado Bachiller 1785
617 Piura Masculino 43 20 2 Casado Colegio 11249
618 Arequipa Masculino 28 7 1 Viudo Colegio 2872
619 Trujillo Femenino 40 15 1 Casado Magister 4678
620 Lima Femenino 52 33 1 Soltero Colegio 8561
621 Tumbes Femenino 21 0 3 Soltero Bachiller 11370
622 Arequipa Masculino 51 28 1 Casado Magister 7526
623 Piura Femenino 49 20 3 Soltero Colegio 23987
624 Lima Masculino 30 3 2 Viudo Bachiller 5149
625 Piura Femenino 32 10 2 Casado Colegio 8271
626 Piura Femenino 28 5 1 Divorciado Colegio 2527
627 Lima Femenino 29 1 1 Casado Bachiller 2271
628 Trujillo Femenino 41 12 2 Soltero Bachiller 7719
629 Otros Masculino 26 0 1 Divorciado Magister 901
630 Arequipa Femenino 33 6 1 Casado Magister 2716
631 Arequipa Masculino 34 18 1 Soltero Magister 4518
632 Trujillo Masculino 34 8 1 Casado Doctor 3519
633 Trujillo Femenino 37 19 1 Soltero Magister 4869
634 Lima Masculino 51 26 3 Divorciado Bachiller 24824
635 Tumbes Masculino 30 8 1 Divorciado Magister 2883
636 Piura Femenino 27 3 2 Viudo Colegio 6803
637 Tumbes Femenino 43 24 3 Divorciado Colegio 23989
638 Trujillo Femenino 39 15 1 Casado Colegio 4643
639 Otros Masculino 37 4 1 Soltero Magister 1889
640 Otros Femenino 41 7 2 Casado Colegio 5753
641 Piura Masculino 21 8 2 Casado Bachiller 6529
642 Tumbes Femenino 46 29 1 Divorciado Colegio 7033
643 Tumbes Masculino 40 22 3 Divorciado Colegio 22187
644 Tumbes Femenino 45 26 1 Casado Colegio 7491
645 Piura Femenino 29 0 2 Soltero Colegio 3785
646 Trujillo Femenino 18 0 1 Casado Bachiller 1438
647 Tumbes Masculino 30 6 2 Divorciado Magister 5984
648 Arequipa Femenino 26 0 1 Divorciado Bachiller 1563
649 Trujillo Masculino 57 21 1 Viudo Magister 5597
650 Trujillo Masculino 31 3 2 Viudo Bachiller 5416
651 Trujillo Femenino 33 0 1 Casado Colegio 999
652 Otros Femenino 46 27 1 Soltero Bachiller 6857
653 Trujillo Masculino 41 21 1 Divorciado Doctor 5375
654 Piura Masculino 42 12 1 Casado Colegio 3526
655 Lima Masculino 61 32 1 Divorciado Colegio 7966
656 Trujillo Femenino 37 8 1 Casado Bachiller 2877
657 Piura Masculino 54 27 1 Viudo Doctor 7052
658 Trujillo Femenino 38 15 2 Divorciado Bachiller 9142
659 Otros Masculino 20 0 1 Casado Magister 1611
660 Arequipa Masculino 18 0 2 Casado Magister 5036
661 Lima Masculino 41 10 2 Soltero Colegio 8127
662 Trujillo Femenino 25 7 1 Soltero Colegio 2567
663 Piura Masculino 35 8 1 Viudo Colegio 2716
664 Arequipa Femenino 53 28 1 Divorciado Bachiller 6863
665 Otros Femenino 38 13 1 Divorciado Colegio 4441
666 Tumbes Femenino 32 8 2 Divorciado Colegio 7203
667 Piura Femenino 18 0 1 Casado Doctor 1451
668 Arequipa Masculino 27 0 1 Soltero Colegio 1433
669 Piura Femenino 29 0 1 Soltero Magister 1531
670 Arequipa Masculino 42 9 1 Soltero Bachiller 3457
671 Tumbes Masculino 40 13 2 Divorciado Magister 8132
672 Lima Masculino 35 14 1 Soltero Magister 4594
673 Arequipa Femenino 37 15 2 Soltero Magister 8896
674 Lima Masculino 32 10 1 Casado Magister 3823
675 Otros Masculino 35 7 1 Divorciado Bachiller 2953
676 Piura Femenino 38 14 1 Soltero Bachiller 4724
677 Lima Masculino 39 0 1 Soltero Bachiller 1548
678 Tumbes Femenino 53 29 1 Divorciado Colegio 7365
679 Otros Masculino 24 0 1 Viudo Bachiller 1538
680 Lima Femenino 50 26 1 Divorciado Bachiller 6918
681 Otros Masculino 42 20 1 Casado Bachiller 5311
682 Otros Femenino 20 0 1 Divorciado Colegio 1260
683 Piura Femenino 32 10 1 Soltero Bachiller 3990
684 Otros Masculino 29 4 1 Soltero Magister 1893
685 Piura Femenino 26 2 2 Soltero Colegio 3498
686 Tumbes Femenino 20 9 1 Divorciado Magister 2816
687 Piura Femenino 30 2 1 Soltero Colegio 2443
688 Otros Femenino 31 5 1 Casado Bachiller 2483
689 Trujillo Masculino 32 11 1 Casado Magister 4425
690 Otros Masculino 18 0 2 Casado Magister 6294
691 Tumbes Masculino 39 20 2 Divorciado Magister 11885
692 Arequipa Masculino 42 26 1 Divorciado Magister 6963
693 Trujillo Femenino 43 21 2 Casado Magister 12009
694 Otros Femenino 43 24 3 Viudo Bachiller 24232
695 Arequipa Femenino 37 8 1 Viudo Bachiller 3176
696 Arequipa Masculino 50 25 1 Viudo Colegio 6916
697 Piura Femenino 26 3 1 Divorciado Colegio 2387
698 Trujillo Masculino 23 0 2 Casado Magister 5587
699 Lima Femenino 38 18 2 Soltero Colegio 9209
700 Arequipa Masculino 39 13 1 Casado Doctor 4592
701 Trujillo Masculino 28 2 1 Soltero Doctor 1959
702 Otros Femenino 35 10 2 Soltero Bachiller 7912
703 Piura Femenino 38 13 3 Soltero Colegio 16888
704 Piura Femenino 39 20 1 Casado Colegio 5572
705 Otros Femenino 44 14 1 Soltero Bachiller 4548
706 Otros Masculino 44 26 2 Soltero Colegio 12237
707 Trujillo Femenino 18 0 3 Soltero Colegio 12553
708 Tumbes Masculino 52 19 2 Casado Doctor 9790
709 Arequipa Masculino 40 12 1 Casado Bachiller 3976
710 Otros Femenino 29 11 1 Viudo Doctor 4076
711 Otros Femenino 24 0 1 Viudo Doctor 1373
712 Piura Masculino 44 27 1 Divorciado Bachiller 6187
713 Trujillo Masculino 38 14 1 Divorciado Colegio 4029
714 Piura Femenino 46 17 2 Viudo Colegio 10994
715 Arequipa Masculino 34 5 3 Divorciado Magister 12664
716 Otros Femenino 33 8 2 Divorciado Colegio 6882
717 Tumbes Femenino 57 33 1 Casado Colegio 8097
718 Lima Masculino 18 0 2 Soltero Bachiller 5390
719 Piura Femenino 39 22 1 Divorciado Magister 6225
720 Arequipa Masculino 39 16 1 Divorciado Doctor 4602
721 Lima Masculino 39 5 2 Viudo Magister 6332
722 Tumbes Masculino 41 25 1 Divorciado Colegio 6467
723 Otros Masculino 32 0 1 Casado Doctor 1547
724 Piura Femenino 47 19 3 Viudo Bachiller 19119
725 Arequipa Femenino 18 0 1 Divorciado Bachiller 1580
726 Tumbes Masculino 27 0 1 Viudo Magister 1390
727 Otros Femenino 34 9 1 Casado Bachiller 3003
728 Otros Femenino 37 3 2 Viudo Colegio 7382
729 Tumbes Femenino 39 14 1 Soltero Bachiller 4200
730 Otros Masculino 41 13 2 Casado Magister 9894
731 Tumbes Femenino 20 0 3 Viudo Colegio 12002
732 Tumbes Femenino 35 15 1 Soltero Colegio 4937
733 Lima Femenino 40 25 1 Divorciado Magister 6567
734 Lima Femenino 48 26 2 Viudo Colegio 11864
735 Arequipa Masculino 34 5 2 Divorciado Doctor 5258
736 Piura Masculino 51 32 2 Soltero Colegio 13929
737 Otros Masculino 32 13 1 Soltero Colegio 4281
738 Lima Femenino 35 12 1 Casado Colegio 4634
739 Piura Femenino 37 11 1 Viudo Colegio 3900
740 Arequipa Masculino 30 7 1 Casado Magister 3076
741 Arequipa Femenino 42 11 1 Viudo Colegio 3320
742 Tumbes Masculino 22 0 1 Casado Magister 1608
743 Piura Masculino 35 10 3 Casado Magister 17287
744 Tumbes Femenino 30 11 3 Divorciado Colegio 16278
745 Otros Masculino 30 10 2 Soltero Doctor 8619
746 Otros Masculino 47 20 2 Casado Doctor 9046
747 Arequipa Femenino 46 23 1 Casado Colegio 5976
748 Arequipa Femenino 51 20 1 Viudo Colegio 5332
749 Lima Masculino 32 15 1 Casado Colegio 4419
750 Tumbes Femenino 35 8 1 Soltero Colegio 3668
751 Piura Masculino 19 0 1 Soltero Magister 800
752 Tumbes Masculino 31 0 1 Casado Magister 1460
753 Arequipa Masculino 53 26 1 Casado Bachiller 7032
754 Tumbes Femenino 31 11 2 Soltero Doctor 6812
755 Otros Masculino 23 5 2 Casado Bachiller 5709
756 Tumbes Masculino 35 9 3 Divorciado Colegio 15540
757 Piura Masculino 47 24 3 Viudo Bachiller 26117
758 Trujillo Masculino 19 0 1 Divorciado Colegio 1132
759 Tumbes Femenino 32 8 1 Divorciado Colegio 3006
760 Arequipa Femenino 40 12 2 Soltero Bachiller 9241
761 Otros Femenino 55 35 2 Viudo Colegio 15941
762 Trujillo Femenino 29 0 2 Casado Colegio 5637
763 Tumbes Femenino 50 24 1 Divorciado Colegio 6228
764 Piura Femenino 31 9 3 Soltero Magister 16893
765 Lima Femenino 25 1 2 Casado Colegio 3853
766 Tumbes Femenino 24 0 1 Soltero Colegio 1886
767 Trujillo Masculino 33 5 1 Viudo Magister 2830
768 Tumbes Femenino 35 19 1 Casado Colegio 5442
769 Arequipa Femenino 32 17 1 Soltero Bachiller 4836
770 Piura Masculino 46 21 2 Divorciado Bachiller 9360
771 Trujillo Femenino 37 8 2 Viudo Doctor 6604
772 Trujillo Masculino 34 8 1 Casado Colegio 3434
773 Lima Masculino 29 0 3 Divorciado Bachiller 11031
774 Tumbes Femenino 22 0 1 Casado Magister 1407
775 Arequipa Masculino 18 0 3 Viudo Bachiller 10880
776 Trujillo Masculino 37 4 3 Divorciado Bachiller 11312
777 Trujillo Femenino 35 15 1 Casado Bachiller 5023
778 Trujillo Masculino 49 28 1 Viudo Bachiller 7067
779 Lima Femenino 38 11 2 Casado Colegio 7188
780 Trujillo Masculino 43 17 1 Divorciado Magister 4590
781 Arequipa Femenino 35 21 1 Divorciado Colegio 5616
782 Lima Femenino 27 0 2 Divorciado Colegio 5054
783 Piura Masculino 38 19 2 Soltero Magister 9833
784 Arequipa Masculino 38 19 1 Viudo Doctor 5514
785 Trujillo Masculino 27 0 2 Soltero Colegio 3845
786 Tumbes Femenino 35 4 1 Viudo Colegio 2270
787 Trujillo Masculino 55 34 2 Casado Doctor 14430
788 Trujillo Masculino 24 0 2 Soltero Colegio 6645
789 Arequipa Femenino 50 28 1 Casado Colegio 7404
790 Lima Masculino 33 3 3 Casado Magister 11920
791 Piura Masculino 50 18 1 Soltero Colegio 5394
792 Tumbes Masculino 27 0 3 Soltero Magister 10856
793 Tumbes Femenino 34 3 1 Casado Bachiller 2230
794 Trujillo Masculino 38 14 1 Casado Magister 4254
795 Piura Femenino 34 12 2 Casado Colegio 9485
796 Otros Masculino 42 11 1 Casado Doctor 3567
797 Tumbes Masculino 33 8 1 Casado Magister 3232
798 Lima Femenino 47 25 3 Viudo Bachiller 19938
799 Piura Masculino 37 17 1 Viudo Colegio 4717
800 Piura Masculino 42 10 2 Viudo Colegio 8058
801 Piura Masculino 23 0 1 Soltero Colegio 1180
802 Arequipa Masculino 28 0 1 Casado Colegio 1872
803 Otros Masculino 46 24 2 Divorciado Magister 12610
804 Tumbes Femenino 40 14 1 Soltero Colegio 4682
805 Piura Masculino 34 14 2 Divorciado Bachiller 10768
806 Trujillo Masculino 34 9 1 Soltero Bachiller 3367
807 Otros Femenino 43 22 1 Viudo Bachiller 5972
808 Lima Masculino 33 6 2 Viudo Bachiller 4392
809 Piura Masculino 36 11 1 Soltero Magister 3495
810 Piura Masculino 19 0 2 Casado Magister 5449
811 Piura Masculino 53 26 1 Viudo Magister 6609
812 Tumbes Femenino 43 20 1 Viudo Magister 5711
813 Trujillo Femenino 43 27 1 Soltero Colegio 6581
814 Piura Masculino 18 0 1 Viudo Magister 1158
815 Piura Femenino 35 13 3 Divorciado Bachiller 16306
816 Otros Masculino 31 0 1 Soltero Magister 1450
817 Piura Masculino 21 0 1 Divorciado Bachiller 1892
818 Trujillo Masculino 42 20 1 Casado Bachiller 5809
819 Trujillo Femenino 47 21 1 Divorciado Colegio 5459
820 Otros Masculino 29 3 2 Divorciado Colegio 6984
821 Piura Masculino 33 6 1 Viudo Colegio 2519
822 Tumbes Femenino 52 28 1 Soltero Bachiller 6501
823 Otros Masculino 19 0 2 Casado Colegio 4416
824 Lima Femenino 42 10 3 Viudo Bachiller 17200
825 Lima Femenino 32 13 1 Casado Bachiller 3673
826 Piura Femenino 34 4 1 Divorciado Colegio 2044
827 Trujillo Masculino 29 8 1 Casado Magister 3464
828 Otros Femenino 46 20 1 Casado Bachiller 5844
829 Arequipa Femenino 24 0 2 Casado Colegio 4892
830 Tumbes Masculino 45 18 1 Divorciado Magister 4898
831 Tumbes Masculino 49 24 1 Soltero Magister 6764
832 Otros Masculino 19 0 3 Soltero Bachiller 13755
833 Arequipa Masculino 24 0 1 Viudo Bachiller 1696
834 Tumbes Femenino 41 9 2 Viudo Bachiller 8456
835 Arequipa Masculino 25 0 1 Viudo Magister 1926
836 Arequipa Masculino 28 5 1 Divorciado Bachiller 2709
837 Otros Masculino 31 0 2 Divorciado Magister 5248
838 Lima Femenino 32 7 1 Viudo Colegio 3338
839 Piura Femenino 42 15 1 Viudo Bachiller 4398
840 Otros Masculino 29 0 1 Soltero Magister 1291
841 Trujillo Femenino 36 14 1 Casado Magister 4199
842 Trujillo Masculino 42 19 1 Viudo Bachiller 4935
843 Tumbes Femenino 20 0 2 Divorciado Magister 4519
844 Tumbes Femenino 28 2 3 Viudo Colegio 12251
845 Lima Femenino 44 31 1 Soltero Colegio 8138
846 Tumbes Femenino 31 8 2 Divorciado Bachiller 7141
847 Lima Masculino 18 0 1 Soltero Bachiller 810
848 Piura Femenino 26 0 1 Casado Bachiller 1130
849 Otros Femenino 43 16 1 Soltero Magister 4604
850 Lima Femenino 31 14 1 Soltero Bachiller 3461
851 Piura Femenino 31 5 1 Casado Colegio 1867
852 Otros Femenino 34 10 2 Divorciado Bachiller 7356
853 Otros Masculino 42 17 1 Casado Doctor 5196
854 Tumbes Femenino 30 1 1 Divorciado Bachiller 1780
855 Trujillo Masculino 40 8 1 Viudo Doctor 3038
856 Lima Masculino 41 17 1 Viudo Doctor 4474
857 Otros Femenino 25 3 2 Divorciado Colegio 5866
858 Tumbes Femenino 34 10 1 Viudo Bachiller 3140
859 Tumbes Masculino 30 1 3 Divorciado Magister 8123
860 Otros Femenino 39 15 1 Soltero Colegio 4664
861 Otros Femenino 20 0 2 Viudo Colegio 3509
862 Lima Femenino 50 25 1 Divorciado Magister 6592
863 Piura Masculino 48 16 3 Casado Colegio 17989
864 Lima Femenino 27 7 2 Divorciado Colegio 7394
865 Piura Masculino 28 5 1 Divorciado Magister 2189
866 Tumbes Femenino 26 6 1 Soltero Bachiller 3267
867 Arequipa Masculino 34 0 1 Divorciado Bachiller 1573
868 Trujillo Femenino 30 7 1 Divorciado Bachiller 2755
869 Trujillo Femenino 36 6 2 Divorciado Colegio 6692
870 Trujillo Masculino 18 0 2 Soltero Doctor 4807
871 Tumbes Femenino 37 13 1 Divorciado Magister 4056
872 Piura Femenino 35 12 1 Soltero Bachiller 3690
873 Otros Masculino 19 0 1 Viudo Colegio 1696
874 Piura Femenino 38 6 1 Soltero Colegio 2672
875 Otros Masculino 36 8 1 Casado Doctor 2915
876 Otros Femenino 33 8 1 Soltero Colegio 2540
877 Piura Masculino 35 15 1 Soltero Bachiller 4333
878 Otros Femenino 39 16 1 Divorciado Colegio 4812
879 Lima Masculino 38 8 1 Viudo Magister 3294
880 Tumbes Femenino 31 11 3 Casado Bachiller 16043
881 Tumbes Femenino 47 25 1 Casado Colegio 6953
882 Arequipa Masculino 35 6 1 Viudo Doctor 2379
883 Piura Masculino 34 7 1 Soltero Magister 2717
884 Piura Masculino 44 22 1 Viudo Doctor 5953
885 Otros Masculino 45 12 1 Casado Colegio 4025
886 Trujillo Femenino 28 9 1 Viudo Magister 3294
887 Arequipa Femenino 25 0 1 Divorciado Bachiller 1322
888 Lima Masculino 28 0 1 Divorciado Magister 975
889 Arequipa Femenino 23 8 1 Soltero Magister 2783
890 Tumbes Masculino 18 0 1 Viudo Doctor 1579
891 Lima Femenino 38 9 2 Viudo Colegio 8697
892 Piura Masculino 34 13 2 Casado Bachiller 10318
893 Lima Masculino 41 16 2 Viudo Colegio 8558
894 Tumbes Femenino 35 18 1 Casado Colegio 5096
895 Trujillo Masculino 39 19 1 Divorciado Magister 5331
896 Lima Masculino 30 4 1 Soltero Bachiller 3208
897 Lima Femenino 25 0 1 Casado Colegio 1502
898 Arequipa Femenino 43 18 1 Casado Colegio 4793
899 Arequipa Masculino 43 22 1 Viudo Colegio 6217
900 Tumbes Femenino 18 0 1 Casado Magister 1938
901 Arequipa Masculino 44 12 1 Divorciado Colegio 4152
902 Otros Femenino 18 0 1 Divorciado Doctor 1464
903 Tumbes Femenino 35 10 1 Divorciado Colegio 3029
904 Otros Femenino 31 9 1 Soltero Colegio 3531
905 Lima Masculino 34 9 1 Divorciado Doctor 3642
906 Trujillo Femenino 46 20 2 Casado Doctor 8614
907 Piura Femenino 22 0 2 Casado Bachiller 3153
908 Arequipa Masculino 32 9 2 Divorciado Bachiller 8216
909 Tumbes Masculino 61 38 2 Casado Colegio 17954
910 Lima Masculino 20 0 1 Divorciado Doctor 1491
911 Piura Femenino 29 5 1 Divorciado Colegio 1916
912 Lima Masculino 35 13 1 Casado Magister 4143
913 Piura Femenino 37 10 1 Viudo Magister 3392
914 Tumbes Masculino 30 3 1 Viudo Colegio 2497
915 Piura Masculino 32 6 1 Casado Bachiller 2383
916 Tumbes Masculino 46 27 2 Viudo Bachiller 13310
917 Tumbes Masculino 33 6 2 Soltero Magister 6671
918 Lima Masculino 38 11 1 Divorciado Magister 3732
919 Trujillo Masculino 39 15 1 Soltero Doctor 4256
920 Arequipa Femenino 39 11 1 Viudo Colegio 3150
921 Arequipa Masculino 40 9 1 Viudo Doctor 2833
922 Piura Femenino 36 9 1 Soltero Colegio 3334
923 Lima Masculino 28 0 2 Casado Bachiller 4885
924 Tumbes Masculino 34 3 3 Casado Magister 15646
925 Piura Masculino 25 0 1 Divorciado Magister 1465
926 Arequipa Femenino 36 13 3 Viudo Bachiller 17023
927 Arequipa Femenino 32 9 1 Divorciado Colegio 3810
928 Arequipa Femenino 34 11 1 Soltero Colegio 3781
929 Tumbes Masculino 24 0 1 Viudo Doctor 1795
930 Trujillo Masculino 32 4 3 Viudo Doctor 11336
931 Otros Femenino 24 0 2 Divorciado Colegio 5810
932 Arequipa Femenino 31 4 3 Viudo Bachiller 11418
933 Arequipa Masculino 40 16 3 Casado Colegio 24082
934 Lima Femenino 37 19 1 Divorciado Bachiller 4943
935 Tumbes Masculino 44 28 1 Soltero Magister 7066
936 Piura Masculino 40 5 1 Casado Magister 2955
937 Lima Femenino 36 11 1 Casado Bachiller 3572
938 Tumbes Femenino 45 17 1 Casado Bachiller 5446
939 Piura Femenino 47 19 2 Viudo Magister 10753
940 Lima Masculino 21 0 2 Soltero Colegio 5697
941 Lima Masculino 44 16 1 Soltero Bachiller 4258
942 Arequipa Masculino 43 18 1 Casado Bachiller 5206
943 Lima Femenino 44 15 2 Casado Bachiller 9498
944 Lima Masculino 26 0 1 Viudo Doctor 1539
945 Lima Femenino 59 37 2 Soltero Bachiller 15951
946 Arequipa Masculino 18 0 1 Casado Magister 1910
947 Tumbes Masculino 35 9 3 Divorciado Colegio 17711
948 Piura Masculino 36 11 2 Divorciado Bachiller 8857
949 Piura Masculino 34 14 2 Casado Doctor 9474
950 Arequipa Femenino 42 11 2 Divorciado Bachiller 8135
951 Otros Femenino 36 13 1 Divorciado Bachiller 3693
952 Lima Femenino 27 2 1 Soltero Colegio 1587
953 Arequipa Femenino 49 24 1 Soltero Colegio 6272
954 Otros Masculino 32 7 1 Casado Doctor 2966
955 Otros Femenino 41 13 1 Divorciado Colegio 3806
956 Trujillo Femenino 28 0 3 Casado Bachiller 11964
